Date,Sales
03/20/2011,1222
06/17/2012,2258
08/31/2012,1036
08/03/2016,86
05/13/2014,240
02/25/2013,1960
06/18/2016,1790
09/04/2018,1847
06/15/2014,799
10/08/2012,1874
09/07/2015,2368
06/18/2013,1845
08/22/2011,681
07/18/2014,949
04/27/2011,2113
03/07/2015,79
12/29/2016,352
11/24/2012,557
01/25/2016,1374
12/18/2010,1995
10/14/2014,486
04/26/2018,1541
01/08/2013,1294
05/17/2014,605
08/07/2016,544
06/09/2013,679
07/28/2018,2083
07/31/2013,321
08/06/2017,2356
09/17/2016,1835
03/19/2013,1549
06/22/2011,1913
08/24/2016,1094
09/09/2018,1689
02/28/2011,1391
02/06/2014,1971
06/13/2012,1829
05/17/2019,2389
11/14/2015,291
10/19/2011,1314
01/22/2020,1005
12/27/2012,2438
11/06/2017,363
06/09/2010,2393
11/17/2019,938
11/21/2019,545
12/02/2019,794
09/02/2015,1787
11/08/2010,1109
05/13/2012,561
06/25/2015,224
07/31/2012,1119
06/26/2013,2396
12/03/2014,55
12/17/2018,1971
04/17/2018,861
11/04/2012,1928
09/09/2012,354
02/05/2015,669
03/19/2014,1469
05/13/2012,1494
02/08/2012,1162
03/12/2011,664
07/24/2015,60
06/12/2016,823
04/08/2013,850
04/27/2011,1494
09/02/2016,592
12/26/2016,2356
09/24/2011,784
10/21/2012,1967
12/12/2018,1261
06/07/2010,459
01/25/2015,2086
07/25/2018,2218
08/07/2018,2292
05/31/2019,2069
04/28/2010,303
06/28/2012,2010
11/12/2018,2260
05/25/2018,805
10/21/2013,429
12/10/2012,2090
09/25/2016,656
08/30/2017,2325
03/28/2015,965
09/22/2016,735
12/24/2014,1283
09/02/2011,287
06/10/2018,2357
12/31/2018,1355
05/29/2016,1402
06/01/2015,1490
01/14/2014,2457
10/12/2014,1181
10/11/2015,1452
10/12/2012,2424
10/06/2010,837
07/03/2014,337
04/23/2019,771
06/11/2017,744
01/02/2015,1854
01/28/2020,2270
08/31/2019,1393
01/21/2012,1691
07/23/2019,1471
01/09/2020,471
12/22/2010,775
10/11/2017,1849
10/04/2016,1473
01/06/2013,1123
06/16/2012,515
02/06/2013,1273
